dependency,count
org.xwiki.platform:xwiki-platform-index-test-pageobjects,1
org.xwiki.platform:xwiki-platform-office-test-pageobjects,1
org.projectlombok:lombok,373
org.springframework.boot:spring-boot-starter-data-cassandra,2
org.slf4j:jcl-over-slf4j,298
org.joyqueue:joyqueue-broker-protocol,1
org.eclipse.jetty:jetty-server,253
org.harctoolbox:HarcHardware,1
org.apache.camel.quarkus:camel-quarkus-azure-cosmosdb,1
org.apache.camel.quarkus:camel-quarkus-jsch,1
org.apache.camel.quarkus:camel-quarkus-lzf,1
org.apache.camel.quarkus:camel-quarkus-support-spring-beans,1
nl.jqno.equalsverifier:equalsverifier,43
com.squareup:fest-android,7
org.apache.servicecomb.toolkit:oas-validator-compatibility-spring,1
com.sikulix:sikulix2tigervnc,1
org.apache.camel:camel-amqp,1
org.apache.camel:camel-base-engine,1
org.apache.camel:camel-catalog,2
org.infinispan.protostream:sample-domain-implementation,1
org.keycloak:keycloak-adapter-core,7
com.alipay.sofa:rpc-grpc-impl,2
args4j:args4j,59
org.apache.hadoop:hadoop-yarn-registry,6
org.jsweet.candies:node,1
com.aliyun:aliyun-java-sdk-core,28
org.tukaani:xz,42
org.springframework.cloud:spring-cloud-starter-netflix-zuul,7
io.github.logtube:logtube,1
org.apache.pinot:pinot-controller,1
net.dongliu:gson-java8-datatype,2
org.jinq:api,1
org.apache.mina:mina-integration-beans,2
org.eclipse.jetty:jetty-alpn-java-server,4
org.keycloak:keycloak-jetty94-adapter,3
com.typesafe.scala-logging:scala-logging-slf4j_2.11,1
org.apache.isis.incubator.viewer:isis-viewer-vaadin-model,1
org.apache.isis.subdomains:isis-subdomains-excel-testing,1
org.apache.servicemix.bundles:org.apache.servicemix.bundles.xmlresolver,1
org.apache.geronimo.javamail:geronimo-javamail_1.4_mail,3
org.glassfish.grizzly:grizzly-http-servlet-server,6
it.uniroma1.dis.wsngroup.gexf4j:gexf4j,1
org.apache.sanselan:sanselan,5
org.eclipse.kapua:kapua-security-registration-simple,1
com.aliyun.openservices:ons-client,6
com.hazelcast.jet:hazelcast-jet-kinesis,2
org.wicketTutorial:OnComponentTagExample,1
org.awaitility:awaitility-groovy,1
com.networknt:eventuate-account-query,1
io.vertx:vertx-core,57
com.googlecode.jmockit:jmockit-coverage,1
org.jopendocument:jOpenDocument,1
com.sk89q.worldguard:worldguard-legacy,3
com.momo:momo-permission-system-core-netty,1
org.apache.directory.api:api-ldap-model,4
io.micronaut.data:micronaut-data-jdbc,2
com.github.andrewoma.dexx:collection,2
org.odpi.egeria:governance-engine-api,1
org.odpi.egeria:graph-repository-connector,1
com.yammer.dropwizard:dropwizard-core,4
com.navercorp.pinpoint:pinpoint-flink,1
com.influxdb:influxdb-client-reactive,1
io.nats:jnats,7
io.opencensus:opencensus-exporter-stats-stackdriver,6
com.github.mpkorstanje:simmetrics-core,4
org.teiid.wildfly.connectors:connector-simpledb,1
org.webjars.bower:popper.js,1
org.springframework.cloud:spring-cloud-function-context,5
org.glassfish.main.jdbc.jdbc-ra.jdbc40:jdbc40,1
org.jboss.ironjacamar:ironjacamar-core-impl,1
com.ctrip.framework.apollo:apollo-buildtools,1
org.geotools.schemas:earthresourceml-1.1,2
org.restcomm.protocols.ss7.map:map-impl,1
org.geoserver.community:gs-importer-jdbc,1
org.geowebcache:gwc-wms,2
com.astamuse:asta4d-core,1
org.openhab.binding:org.openhab.binding.wol,1
org.apache.logging.log4j:log4j-layout-jackson-xml,1
org.bytedeco:fftw,1
org.opencb.biodata:biodata-models,1
software.amazon.awssdk:sagemakerfeaturestoreruntime,1
org.apache.cxf.services.ws-discovery:cxf-services-wsn-osgi,1
de.metas.materialtracking:de.metas.materialtracking,1
de.metas.util:de.metas.util,1
org.apache.servicemix.specs:org.apache.servicemix.specs.annotation-api-1.3,1
org.openpreservation.jhove.modules:jpeg2000-hul,1
com.alibaba.testable:testable-all,1
net.sourceforge.cglib:com.springsource.net.sf.cglib,1
net.seninp:jmotif-gi,1
org.apache.lucene:lucene-snowball,4
org.apache.maven.plugins:maven-jar-plugin,4
org.openimaj:webpage-analysis,1
com.1ssqq1lxr.mqtt:iot-container,1
com.github.fangjinuo.sqlhelper:sqlhelper-springjdbc,1
com.typesafe.play:play-guice_2.12,1
org.apache.skywalking:apm-toolkit-logging-common,1
com.liferay:com.liferay.portal.spring.extender,1
br.com.caelum.vraptor:vraptor-freemarker,2
com.hubspot.slack:slack-base,1
org.flowable:flowable-spring-boot-starter-actuator,2
com.google.cloud:pubsublite-beam-io,1
com.gisgraphy:gisgraphy-commons,1
es.gob.afirma:afirma-ui-simpleafirma-plugins,1
org.jacoco:org.jacoco.examples,1
org.apache.phoenix:phoenix-pherf,1
io.gravitee.el:gravitee-expression-language,2
org.neo4j:neo4j-cypher,3
org.sakaiproject.contentreview:content-review-api,1
org.sakaiproject.signup:signup-impl,1
org.webjars.bower:jquery.tablesorter,1
com.paypal.selion:SeLion-Code-Generator-CLI,1
com.github.detro.ghostdriver:phantomjsdriver,4
com.yahoo.elide:elide-datastore-jpa,1
com.vladmihalcea.flexy-pool:flexy-atomikos4,1
io.jooby:jooby-openapi,1
com.yahoo.vespa.jdisc_core:cert-dc,1
io.trino:trino-memory,1
jotm:jotm,2
org.nuxeo.ecm.platform:nuxeo-tree-snapshot-core,1
org.opennms.newts:newts-api,1
org.apache.cayenne:cayenne-client,1
org.glassfish.main.admingui:console-concurrent-plugin,2
org.glassfish.main.grizzly:nucleus-grizzly-all,2
org.glassfish.main.jdbc:jdbc-config,2
org.glassfish.main.webservices:metro-glue,2
org.archive.heritrix:commons,1
io.debezium:debezium-microbenchmark,1
io.quarkus:quarkus-jdbc-mariadb-deployment,1
org.wildfly.security:wildfly-elytron-asn1,2
org.glassfish.tyrus:tyrus-container-inmemory,1
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.workflow.mgt.stub,1
org.wso2.identity.apps:identity-apps-cypress-tests,1
org.apache.edgent.android:edgent-analytics-sensors,1
