groupId,artifactId,mcrTags
com.playtika.testcontainers,embedded-vault,embedded
net.arnx,wmf2svg,svg
org.jboss.ironjacamar,ironjacamar-common-api,"jboss,api"
com.google.flogger,flogger,google
org.apache.camel.springboot,camel-http-starter,"apache,starter,http,camel"
com.blazebit,blaze-persistence-examples-showcase-base,"persistence,example"
org.openhab.addons.bundles,org.openhab.binding.hydrawise,"binding,bundle"
org.apache.jclouds.labs,openstack-neutron,"cloud,apache,openstack"
org.wso2.carbon.identity.server.api,org.wso2.carbon.identity.api.server.configs.common,"server,api,identity"
org.apache.yoko,yoko-osgi,"apache,osgi"
org.wso2.carbon.extension.identity.authenticator.outbound.emailotp,org.wso2.carbon.identity.authenticator.emailotp,"identity,extension"
com.oracle.oci.sdk,oci-java-sdk-rover,sdk
org.springframework.statemachine,spring-statemachine-core,spring
org.restcomm,restcomm-connect.email,mail
org.apache.ratis,ratis-replicated-map,apache
io.ktor,ktor-websockets,"io,websocket"
org.apache.hadoop,hadoop-streaming,"streaming,hadoop,apache"
org.eclipse.hawkbit,hawkbit-mgmt-resource,"eclipse,resource"
org.tuxdevelop,spring-batch-lightmin-server-scheduler-core,"server,scheduling,spring,batch"
com.datastax.oss,native-protocol,"native,protocol"
org.jboss.logmanager,jboss-logmanager-ext,jboss
io.trino,trino-testing,"io,testing"
org.apache.camel.quarkus,camel-quarkus-atlasmap,"apache,camel"
org.zanata,zanata-rest-client,"rest,client"
es.uji.crypto.xades,jxades,cryptography
org.alluxio,alluxio-core-client-hdfs,"hadoop,client"
org.infinispan.protostream,sample-domain-implementation,"cache,example"
org.jenkins-ci.plugins,azure-commons,"plugin,azure,jenkins"
com.amazonaws,aws-java-sdk-servermigration,"aws,amazon,sdk"
org.apache.geronimo.specs,geronimo-jaxrpc_1.1_spec,"apache,specs"
com.microsoft.azure.appservice.v2016_03_01,azure-mgmt-appservice,azure
com.amazonaws,aws-java-sdk-lexmodelsv2,"aws,amazon,sdk"
com.google.protobuf,protobuf-java-util,"google,serialization,protocol"
org.vaadin.spring.addons,vaadin-spring-addon-eventbus,"gwt,eventbus,messaging,spring,web-framework"
org.eclipse.microprofile.rest.client,microprofile-rest-client-tck,"rest,eclipse,client"
