repositoryName1,repositoryName2,intersection,similarity
maxmind/geoip-api-java,stateless4j/stateless4j,"[junit:junit, org.mockito:mockito-core]",1.0
openjdk/loom,openjdk/valhalla,"[com.sun.hotspot.igv:BatikSVGProxy, com.sun.hotspot.igv:Bytecodes, com.sun.hotspot.igv:ControlFlow, com.sun.hotspot.igv:Coordinator, com.sun.hotspot.igv:Data, com.sun.hotspot.igv:Difference, com.sun.hotspot.igv:Filter, com.sun.hotspot.igv:FilterWindow, com.sun.hotspot.igv:Graal, com.sun.hotspot.igv:Graph, com.sun.hotspot.igv:HierarchicalLayout, com.sun.hotspot.igv:Layout, com.sun.hotspot.igv:NetworkConnection, com.sun.hotspot.igv:SelectionCoordinator, com.sun.hotspot.igv:ServerCompiler, com.sun.hotspot.igv:Settings, com.sun.hotspot.igv:Util, com.sun.hotspot.igv:View, com.sun.hotspot.igv:branding, junit:junit, net.java.dev.swing-layout:swing-layout, org.netbeans.api:org-netbeans-api-progress, org.netbeans.api:org-netbeans-api-progress-nb, org.netbeans.api:org-netbeans-api-visual, org.netbeans.api:org-netbeans-modules-nbjunit, org.netbeans.api:org-netbeans-modules-options-api, org.netbeans.api:org-netbeans-spi-quicksearch, org.netbeans.api:org-openide-actions, org.netbeans.api:org-openide-awt, org.netbeans.api:org-openide-dialogs, org.netbeans.api:org-openide-explorer, org.netbeans.api:org-openide-filesystems, org.netbeans.api:org-openide-loaders, org.netbeans.api:org-openide-nodes, org.netbeans.api:org-openide-util, org.netbeans.api:org-openide-util-lookup, org.netbeans.api:org-openide-util-ui, org.netbeans.api:org-openide-windows]",0.95
apache/guacamole-client,glyptodon/guacamole-client,"[ch.qos.logback:logback-classic, com.fasterxml.jackson.core:jackson-annotations, com.fasterxml.jackson.core:jackson-core, com.fasterxml.jackson.core:jackson-databind, com.fasterxml.jackson.module:jackson-module-jaxb-annotations, com.google.guava:guava, com.google.inject.extensions:guice-assistedinject, com.google.inject.extensions:guice-servlet, com.google.inject:guice, com.google.zxing:core, com.google.zxing:javase, com.onelogin:java-saml, commons-codec:commons-codec, commons-collections:commons-collections, commons-logging:commons-logging, javax.annotation:jsr250-api, javax.servlet:servlet-api, javax.websocket:javax.websocket-api, javax.ws.rs:javax.ws.rs-api, javax.ws.rs:jsr311-api, junit:junit, net.jradius:jradius-core, net.jradius:jradius-dictionary, net.jradius:jradius-extended, org.apache.directory.api:api-all, org.apache.guacamole:guacamole-auth-jdbc-base, org.apache.guacamole:guacamole-auth-jdbc-mysql, org.apache.guacamole:guacamole-auth-jdbc-postgresql, org.apache.guacamole:guacamole-auth-jdbc-sqlserver, org.apache.guacamole:guacamole-common, org.apache.guacamole:guacamole-ext, org.apache.tomcat:tomcat-catalina, org.apache.tomcat:tomcat-coyote, org.bitbucket.b_c:jose4j, org.eclipse.jetty.websocket:websocket-api, org.eclipse.jetty.websocket:websocket-servlet, org.eclipse.jetty:jetty-websocket, org.glassfish.hk2:guice-bridge, org.glassfish.jersey.containers:jersey-container-servlet-core, org.glassfish.jersey.inject:jersey-hk2, org.glassfish.jersey.media:jersey-media-json-jackson, org.jasig.cas.client:cas-client-core, org.junit.jupiter:junit-jupiter-api, org.junit.jupiter:junit-jupiter-engine, org.junit.jupiter:junit-jupiter-params, org.mybatis:mybatis, org.mybatis:mybatis-guice, org.slf4j:jul-to-slf4j, org.slf4j:slf4j-api, org.slf4j:slf4j-simple, org.springframework.security:spring-security-web]",1.0
JMCuixy/swagger2word,karcan/javaBootcamp,"[io.springfox:springfox-swagger-ui, io.springfox:springfox-swagger2]",1.0
elunez/eladmin,perye/dokit,"[ch.ethz.ganymed:ganymed-ssh2, cn.hutool:hutool-all, com.alibaba:druid-spring-boot-starter, com.alibaba:fastjson, com.github.oshi:oshi-core, com.github.whvcse:easy-captcha, com.jcraft:jsch, com.qiniu:qiniu-java-sdk, commons-configuration:commons-configuration, io.jsonwebtoken:jjwt-api, io.jsonwebtoken:jjwt-impl, io.jsonwebtoken:jjwt-jackson, io.springfox:springfox-swagger-ui, io.springfox:springfox-swagger2, io.swagger:swagger-annotations, io.swagger:swagger-models, javax.inject:javax.inject, javax.mail:mail, org.apache.commons:commons-pool2, org.apache.poi:poi, org.apache.poi:poi-ooxml, org.bgee.log4jdbc-log4j2:log4jdbc-log4j2-jdbc4.1, org.lionsoul:ip2region, org.mapstruct:mapstruct-processor, xerces:xercesImpl]",0.71
arteam/100-Java-Concurrency-questions,thomasmueller/minperf,"[junit:junit, org.openjdk.jmh:jmh-core, org.openjdk.jmh:jmh-generator-annprocess]",1.0
openjdk/loom,openjdk/panama-foreign,"[com.sun.hotspot.igv:BatikSVGProxy, com.sun.hotspot.igv:Bytecodes, com.sun.hotspot.igv:ControlFlow, com.sun.hotspot.igv:Coordinator, com.sun.hotspot.igv:Data, com.sun.hotspot.igv:Difference, com.sun.hotspot.igv:Filter, com.sun.hotspot.igv:FilterWindow, com.sun.hotspot.igv:Graal, com.sun.hotspot.igv:Graph, com.sun.hotspot.igv:HierarchicalLayout, com.sun.hotspot.igv:Layout, com.sun.hotspot.igv:NetworkConnection, com.sun.hotspot.igv:SelectionCoordinator, com.sun.hotspot.igv:ServerCompiler, com.sun.hotspot.igv:Settings, com.sun.hotspot.igv:Util, com.sun.hotspot.igv:View, com.sun.hotspot.igv:branding, junit:junit, net.java.dev.swing-layout:swing-layout, org.netbeans.api:org-netbeans-api-progress, org.netbeans.api:org-netbeans-api-progress-nb, org.netbeans.api:org-netbeans-api-visual, org.netbeans.api:org-netbeans-modules-nbjunit, org.netbeans.api:org-netbeans-modules-options-api, org.netbeans.api:org-netbeans-spi-quicksearch, org.netbeans.api:org-openide-actions, org.netbeans.api:org-openide-awt, org.netbeans.api:org-openide-dialogs, org.netbeans.api:org-openide-explorer, org.netbeans.api:org-openide-filesystems, org.netbeans.api:org-openide-loaders, org.netbeans.api:org-openide-nodes, org.netbeans.api:org-openide-util, org.netbeans.api:org-openide-util-lookup, org.netbeans.api:org-openide-util-ui, org.netbeans.api:org-openide-windows]",0.95
zuihou/lamp-boot,zuihou/lamp-cloud,"[com.tangyh.basic:lamp-annotation, com.tangyh.basic:lamp-boot-util, com.tangyh.basic:lamp-cache-starter, com.tangyh.basic:lamp-core, com.tangyh.basic:lamp-databases, com.tangyh.basic:lamp-dozer-starter, com.tangyh.basic:lamp-echo-starter, com.tangyh.basic:lamp-jwt-starter, com.tangyh.basic:lamp-log-starter, com.tangyh.basic:lamp-mq-starter, com.tangyh.basic:lamp-security-starter, com.tangyh.basic:lamp-swagger2-starter, com.tangyh.basic:lamp-validator-starter, com.tangyh.basic:lamp-xss-starter, com.tangyh.basic:lamp-zipkin-client-starter, com.tangyh.lamp:lamp-msg-biz, com.tangyh.lamp:lamp-msg-controller, com.tangyh.lamp:lamp-msg-entity, com.tangyh.lamp:lamp-sms-biz, com.tangyh.lamp:lamp-sms-controller, io.seata:seata-spring-boot-starter]",0.78
SAP/SapMachine,openjdk/panama-foreign,"[com.sun.hotspot.igv:BatikSVGProxy, com.sun.hotspot.igv:Bytecodes, com.sun.hotspot.igv:ControlFlow, com.sun.hotspot.igv:Coordinator, com.sun.hotspot.igv:Data, com.sun.hotspot.igv:Difference, com.sun.hotspot.igv:Filter, com.sun.hotspot.igv:FilterWindow, com.sun.hotspot.igv:Graal, com.sun.hotspot.igv:Graph, com.sun.hotspot.igv:HierarchicalLayout, com.sun.hotspot.igv:Layout, com.sun.hotspot.igv:NetworkConnection, com.sun.hotspot.igv:SelectionCoordinator, com.sun.hotspot.igv:ServerCompiler, com.sun.hotspot.igv:Settings, com.sun.hotspot.igv:Util, com.sun.hotspot.igv:View, com.sun.hotspot.igv:branding, junit:junit, net.java.dev.swing-layout:swing-layout, org.netbeans.api:org-netbeans-api-progress, org.netbeans.api:org-netbeans-api-progress-nb, org.netbeans.api:org-netbeans-api-visual, org.netbeans.api:org-netbeans-modules-nbjunit, org.netbeans.api:org-netbeans-modules-options-api, org.netbeans.api:org-netbeans-spi-quicksearch, org.netbeans.api:org-openide-actions, org.netbeans.api:org-openide-awt, org.netbeans.api:org-openide-dialogs, org.netbeans.api:org-openide-explorer, org.netbeans.api:org-openide-filesystems, org.netbeans.api:org-openide-loaders, org.netbeans.api:org-openide-nodes, org.netbeans.api:org-openide-util, org.netbeans.api:org-openide-util-lookup, org.netbeans.api:org-openide-util-ui, org.netbeans.api:org-openide-windows]",1.0
Tencent/RapidView,luaj/luaj,"[junit:junit, org.luaj:luaj-jse]",1.0
