repositoryName1,repositoryName2,intersection,similarity
JodaOrg/joda-time,luaj/luaj,"[junit, testing]",1.0
alibaba/cooma,zeroturnaround/zt-zip,"[api, bridge, junit, logging, slf4j, testing]",0.86
grundid/nfctools,streamsets/tutorials,"[api, bridge, junit, logging, slf4j, testing]",0.75
HyDevelop/PicqBotX,yago-naga/yago3,"[junit, testing]",1.0
awslabs/multi-model-server,eclipsesource/J2V8,"[junit, mock, mocking, testing]",1.0
JunzhouLiu/BILIBILI-HELPER,jeevatkm/digitalocean-api-java,"[apache, api, client, google, http, json, junit, logging, slf4j, testing]",0.83
NLPchina/nlp-lang,conversant/disruptor,"[api, junit, logging, slf4j, testing]",0.83
JodaOrg/joda-time,irmen/Pyrolite,"[junit, testing]",1.0
andytill/erlyberly,zeromq/jeromq,"[junit, testing]",1.0
bootique/bootique,kohsuke/file-leak-detector,"[cli, io, junit, parser, testing]",0.71
TNG/JGiven,lukaszlenart/launch4j-maven-plugin,"[annotations, apache, api, build, build-system, junit, maven, model, plugin, testing, tools]",0.92
apavlo/h-store,awslabs/multi-model-server,"[junit, mocking, testing]",0.75
bengtmartensson/IrScrutinizer,jhalterman/expiringmap,"[testing, testng]",1.0
apache/commons-fileupload,jfree/jfreechart-fse,"[api, javax, junit, servlet, specs, standard, testing]",0.78
hazelcast/hazelcast,hazelcast/hazelcast-jet,"[agent, amazon, amqp, analysis, annotations, apache, api, assertion, avro, aws, azure, base64, binding, bridge, bundle, bytecode, cache, classpath, cli, client, cloud, codec, collections, column, command-line, commons, compression, connector, console, coordination, csv, database, date, defect, dependency-injection, distributed, driver, elastic, elasticsearch, embedded, encoding, encryption, engine, github, google, grpc, hadoop, hazelcast, http, io, javax, jdbc, jms, jmx, json, junit, jvm, kafka, kotlin, kubernetes, language, library, logging, mapreduce, matching, metadata, mock, mocking, module, mysql, osgi, parquet, parser, postgresql, prometheus, protocol, python, quality, queue, rabbitmq, reader, reflection, registry, rest, rpc, rules, s3, schema, sdk, search, serialization, server, slf4j, specs, spring, sql, standard, streaming, structures, support, system, terminal, testing, time, transport, web, xml, yaml, zookeeper]",0.77
hoijui/JavaOSC,vasia/gelly-streaming,"[bridge, junit, logging, slf4j, testing]",0.71
TNG/JGiven,coveooss/fmt-maven-plugin,"[annotations, apache, api, build, build-system, junit, maven, model, plugin, testing, tools]",0.85
laforge49/JActor,whitesock/open-replicator,"[api, junit, logging, slf4j, testing]",0.83
JodaOrg/joda-money,taksan/skype-java-api,"[junit, testing]",1.0
apache/commons-dbutils,eclipsesource/J2V8,"[junit, mock, mocking, testing]",0.8
conversant/disruptor,laforge49/JActor,"[api, junit, logging, slf4j, testing]",0.83
